location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
ISU,169,IV,Control,15-20,2.6,2,9.7,22.4,136.8,isu,15
ISU,170,IV,Control,20-25,2.4,2.4,7.3,16.3,148.2,isu,20
ISU,171,IV,Control,25-30,1.8,1.2,4.9,9.8,133,isu,25
ISU,172,IV,PCRO,0-2,4.5,37.7,18.9,109.8,350,isu,0
ISU,173,IV,PCRO,2-4,3.7,29.9,8.6,89.4,199.9,isu,2
ISU,174,IV,PCRO,4-6,3.6,23.4,12.3,78.5,162.8,isu,4
ISU,175,IV,PCRO,6-8,3.4,17.8,9,73.2,151.8,isu,6
ISU,176,IV,PCRO,8-10,2.9,11.9,8.4,45.4,152.7,isu,8
ISU,177,IV,PCRO,10-15,2.7,6.5,8.1,24,144.6,isu,10
ISU,178,IV,PCRO,15-20,2.5,3.6,7.2,15.7,136,isu,15
ISU,179,IV,PCRO,20-25,2.3,2.8,5.5,10.9,137.2,isu,20
ISU,180,IV,PCRO,25-30,1.6,2.2,3.6,8.4,148.1,isu,25
ISU,181,IV,Wild PC,0-2,4.5,18.1,10.4,81.8,423,isu,0
ISU,182,IV,Wild PC,2-4,3.5,27.6,7,49.5,259.7,isu,2
ISU,183,IV,Wild PC,4-6,3.4,19.3,9.5,47.1,165.8,isu,4
ISU,184,IV,Wild PC,6-8,3.1,18.6,8.4,31.3,141.4,isu,6
ISU,185,IV,Wild PC,8-10,2.9,11.4,8,19.9,144.1,isu,8
ISU,186,IV,Wild PC,10-15,2.7,5.7,7.8,16.2,129.4,isu,10
ISU,187,IV,Wild PC,15-20,2.4,2.4,6.4,11.8,130.1,isu,15
ISU,188,IV,Wild PC,20-25,2.3,1.5,5.4,10.3,114.6,isu,20
ISU,189,IV,Wild PC,25-30,1.8,1.4,3.7,8.7,122.4,isu,25
ISU,190,IV,Cereal Rye,0-2,4.2,24.3,7.5,85.5,406.6,isu,0
ISU,191,IV,Cereal Rye,2-4,3.6,26,11.7,61.7,229.7,isu,2
